Sample description,In service,Inoculum only,Inoculum mass VS (g),Sample mass VS (g),Tumbler volume (ml)
Inoculum 1,1,0,0.0,0.0,5.0
Inoculum 2,1,0,0.0,0.0,5.2
Inoculum 3,1,0,0.0,0.0,5.17
Cellu 10,1,0,0.0,2.39,5.17
Cellu 11,1,0,0.0,2.42,5.0
Cellu 12,1,0,0.0,2.38,5.0
1623 Mar,1,0,0.0,3.92,5.17
1623 Mar,1,0,0.0,3.87,5.0
1623 Mar,1,0,0.0,3.83,5.0
1624 Agri,1,0,0.0,2.97,5.0
1624 Agri,1,0,0.0,2.98,5.17
1624 Agri,1,0,0.0,2.98,5.17
54 Bryn 1,1,0,0.0,3.1,5.17
54 Bryn 2,1,0,0.0,2.95,5.17
54 Bryn 3,1,0,0.0,2.96,5.17
End of data,,,,,